Company/Brand,Founded,HeadQuarter,Sector,What it does,Founders,Investor,Amount($),Stage,Year of Funding
Bombay Shaving,2014.533333,Bangalore,Ecommerce,Provides a range of male grooming products,Shantanu Deshpande,Sixth Sense Ventures,6300000,Series A,2019
Ruangguru,2014,Mumbai,Edtech,"A learning platform that provides topic-based journey, animated videos, quizzes, infographic and mock tests to students","Adamas Belva Syah Devara, Iman Usman.",General Atlantic,150000000,Series C,2019
Eduisfun,2014.533333,Mumbai,Edtech,It aims to make learning fun via games.,Jatin Solanki,"Deepak Parekh, Amitabh Bachchan, Piyush Pandey",28000000,Fresh funding,2019
HomeLane,2014,Chennai,Interior design,Provides interior designing solutions,"Srikanth Iyer, Rama Harinath","Evolvence India Fund (EIF), Pidilite Group, FJ Labs",30000000,Series D,2019
Nu Genes,2004,Telangana,Agritech,"It is a seed company engaged in production, processing and marketing of seeds",Narayana Reddy Punyala,Innovation in Food and Agriculture (IFA),6000000,Series A,2019
FlytBase,2014.533333,Pune,Technology,A drone automation platform,Nitin Gupta,Undisclosed,43330301.3,Series A,2019
Finly,2014.533333,Bangalore,Saas,"It builds software products that makes work simpler, pleasant, and productive","Vivek AG, Veekshith C Rai","Social Capital, AngelList India, Gemba Capital, Omphalos Ventures,  91springboard via Atal Innovation Mission, Niti Aayog.",43330301.3,Series A,2019
Kratikal,2013,Noida,Technology,It is a product-based cybersecurity solutions provider,"Pavan Kushwaha, Paratosh Bansal, Dip Jung Thapa","Gilda VC, Art Venture, Rajeev Chitrabhanu.",1000000,Pre series A,2019
Quantiphi,2014.533333,Bangalore,Ai & tech,It is an AI and big data services company providing business solutions.,Renuka Ramnath,Multiples Alternate Asset Management,20000000,Series A,2019
Lenskart,2010,Delhi,E-commerce,It is a eyewear company,"Peyush Bansal, Amit Chaudhary, Sumeet Kapahi",SoftBank,275000000,Series G,2019
Cub McPaws,2010,Mumbai,E-commerce & ar,A B2C  brand that focusses on premium and comfortable merchandise for Generation Alpha – kids,"Abhay Bhat, Kinnar Shah",Venture Catalysts,43330301.3,Series A,2019
Appnomic,2014.533333,Bangalore,Saas,"It is a self-healing enterprise, the IT operations software detects, predicts and prevents problems before they happen",D Padmanabhan,Avataar Ventures,22000000,Series A,2019
Kaleidofin,2018,Chennai,Fintech,Platform that provides complete financial solutions for excluded individuals and households,"Puneet Gupta, Sucharita Mukherjee",Oikocredit,5000000,Series A,2019
JobSquare,2019,Ahmedabad,Hr tech,Technology-based platform that is connecting suitable applicants to the right recruiters,Ishit Jethwa,Titan Capital,140500,Series A,2019
Open Secret,2014.533333,Bangalore,Food tech,It produces and sells top quality snacks,"Ahana Gautam, Udit Kejriwal",Matrix Partners,43330301.3,Series A,2019
LivFin,2017,Delhi,Fintech,"Grants small business loans, supply chain finance and working capital loans to small and medium enterprises",Rakesh Malhotra,German development finance institution DEG,5000000,Series A,2019
Byju's,2011,Bangalore,Edtech,Provides online learning classes,Byju Raveendran,"South Africa’s Naspers Ventures, the CPP Investment Board",540000000,Series A,2019
Zest Money,2015,Bangalore,Fintech,Uses AI to do risk profiling of e-commerce consumers who opt for EMI,"Chapman, Priya Sharma, Ashish Anantharaman",Goldman Sachs.,15000000,Series B,2019
Witblox,2014,Bangalore,Edtech,Offers a range of robotics learning tools,Amit Modi,Mumbai Angels Network,182700,Series A,2019
Azah Personal Care Pvt. Ltd.,2018,Gurugram,Health,Aims to solve some problems in the feminine hygiene sector,"Mohammed, Shashwat Diesh","Kunal Bahl, Rohit Bansal.",43330301.3,Pre series A,2019
SalaryFits,2015,Bangalore,Fintech,A platform that promotes financial well-being of employees at workplace,Renato Araujo,Brazilian VC Fund Confrapar,5000000,Series A,2019
Pristyn Care,2018,Bangalore,Healthcare,Delivers advanced medical care & clinical excellence aided by next-level technology,"Harsimarbir Singh, Dr Vaibhav Kapoor, Dr Garima Sawhney","Sequoia India, Hummingbird Ventures, Greenoaks Capital, AngelList.",12000000,Series B,2019
Springboard,2013,Bangalore,Edtech,Offers online courses and extensive mentor-based learning,"Gautam Tambay, Parul Gupta",Reach Capital,11000000,Post series A,2019
DROR Labs Pvt. Ltd,2018,Delhi,Safety tech,It uses technology to create a trust-based network of responsible citizens to ensure safety,"Dhiraj Naubhar, Dheeraj Bansal",Inflection Point Ventures,43330301.3,Series A,2019
Medlife,2014,Bangalore,Pharmaceutical,It solves inadequacies in the healthcare delivery system through technology,"Tushar Kumar, Prashant Singh",Wilson Global Opportunities Fund,15500000,Series A,2019
Seekify,2019,Delhi,Saas,Customer Experience (CX) Automation platform,"Arihant Jain, Ajeet Kushwaha",Sequoia Capita,1500000,Seed funding,2019
Toffee Insurance,2017,Haryana,Insurance technology,Provides variety of insurance plans and policies,"Nishant Jain, Rohan Kumar",IVM Intersurer,5500000,Series A,2019
Fireflies .ai,2014.533333,Bangalore,Ai,Developer of an artificial intelligence-powered assistant for businesses,Sam Udotong,Canaan Partners,5000000,Series A,2019
HungerBox,2015,Bangalore,Foodtech,"Offers B2B tech platform to corporates, aimed at improving the operations of their cafeterias","Sandipan Mitra, Uttam Kumar","Paytm, Asian VC fund NPTK, Sabre Partners, Neoplux.",12000000,Series C,2019
Bijak,2019,Bangalore,Agritech,B2B platform for agricultural commodities.,"Nukul Upadhye, Mahesh Jakhotia, Jitender Bedwal, Daya Rai, Nikhil Tripathi","Omnivore and Omidyar Network India, Sequoia Capital",2500000,Seed fund,2019
